Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"anthropic,code,executive,mcp",anthropic code execution with mcp,Informational,40,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.43,0.12,0.06,0.06,0.06",45,10.66,0.04,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",142
"11,2024,25,anthropic,context,date,introduced,model,protocol,publishing",anthropic introducing the model context protocol published date 2024-11-25,Informational,140,"1.00,0.00",,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",161
"anthropic,mcp",anthropic mcp,Informational,2900,"1.00,0.81,0.67,0.54,0.35,0.35,0.35,0.30,0.24,0.19,0.24,0.35",86,4.83,0.07,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know, Ads bottom",
"anthropic,api,mcp",anthropic mcp api,Informational,40,"1.00,0.09,0.09,0.09,0.42,0.09,0.09,0.09,0.09,0.09,0.09,0.09",43,0.00,0.04,"Sitelinks, Video, Related searches",98
"anthropic,course,mcp",anthropic mcp course,Informational,110,"0.06,0.65,0.65,1.00,0.65,0.65,0.43,0.43,0.34,0.43,0.65,0.53",61,4.25,0.17,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",2250000
"anthropic,directory,mcp",anthropic mcp directory,Informational,390,"0.05,0.45,0.67,1.00,0.67,0.05,0.03,0.03,0.03,0.03,0.02,0.03",54,0.00,0.01,"Sitelinks, Reviews, Video, Related searches",98
"anthropic,doc,mcp",anthropic mcp doc,Informational,90,"0.82,1.00,1.00,1.00,1.00,0.41,0.29,0.23,0.11,0.11,0.11,0.11",79,0.00,0.33,"Video, Related searches",108
"anthropic,doc,mcp",anthropic mcp docs,"Informational, Transactional",40,"0.09,0.09,0.09,0.09,0.09,1.00,0.42,0.09,0.09,0.09,0.09,0.23",60,0.00,0.01,"Video, People also ask, Related searches",109
"anthropic,document,mcp",anthropic mcp documentation,Navigational,210,"0.12,0.12,0.23,0.23,0.12,1.00,0.54,0.04,0.04,0.03,0.05,0.19",76,6.71,0.06,"Sitelinks, Video, Video carousel, People also ask, Related searches",107
"anthropic,github,mcp",anthropic mcp github,Navigational,210,"0.39,0.14,0.26,0.09,1.00,0.07,0.05,0.04,0.04,0.04,0.05,0.03",62,0.00,0.01,"Sitelinks, Video, People also ask, Related searches",104
"anthropic,guide,mcp",anthropic mcp guide,Informational,50,"0.52,0.11,0.82,0.82,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11",56,0.00,0.11,"Video, Video carousel, Related searches",106
"anthropic,inspector,mcp",anthropic mcp inspector,Informational,90,"0.12,1.00,0.12,0.02,0.02,0.02,0.02,0.15,0.02,0.05,0.02,0.02",51,0.00,0.33,"Video, Video carousel, People also ask, Discussions and forums, Related searches",100
"anthropic,context,mcp,model,protocol",anthropic mcp model context protocol,Informational,40,"0.03,0.03,1.00,0.03,0.15,0.03,0.06,0.06,0.34,0.15,0.06,0.53",73,0.00,0.33,"Sitelinks, Video, Video carousel, Related searches",5150000
"anthropic,mcp,news",anthropic mcp news,Informational,480,"0.36,0.08,0.36,0.08,1.00,0.08,0.03,0.08,0.02,0.00,0.00,0.00",62,0.00,0.03,"Video, Video carousel, Related searches",129
"anthropic,mcp,open,source",anthropic mcp open source,Informational,40,"0.11,0.41,0.23,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11",89,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Discussions and forums, Related searches",107
"anthropic,mcp,protocol",anthropic mcp protocol,Navigational,210,"0.44,0.36,0.36,0.19,0.15,1.00,0.29,0.05,0.05,0.04,0.02,0.12",83,0.00,0.06,"Sitelinks, Video, Related searches",124
"anthropic,mcp,registry",anthropic mcp registry,Navigational,140,"0.06,0.53,0.53,0.06,1.00,1.00,0.53,0.34,0.21,0.21,0.28,0.28",64,17.01,0.02,"Sitelinks, Video, Related searches",104
"anthropic,mcp,sdk",anthropic mcp sdk,Informational,70,"0.07,1.00,0.07,0.07,0.07,0.23,0.07,0.05,0.05,0.05,0.05,0.12",65,0.00,0.03,"Sitelinks, AI Overview, Video, Related searches",107
"anthropic,mcp,server",anthropic mcp server,Informational,140,"0.44,0.08,0.08,0.44,0.44,0.54,0.35,0.11,0.15,0.66,0.35,1.00",57,4.34,0.04,"Sitelinks, Image, Video, Related searches",11800000
"anthropic,doc,mcp,server",anthropic mcp server docs,Informational,40,"1.00,0.33,0.00,0.00,0.00,0.00,0.11",75,0.00,0.00,"Sitelinks, Video, Related searches",100
"anthropic,document,mcp,server",anthropic mcp server documentation,Informational,70,"0.00,0.00,1.00,0.34,0.34,1.00,0.34,0.07,0.07,0.07,0.07,0.07",69,0.00,0.33,"Sitelinks, Video, People also ask, Related searches",108
"anthropic,mcp,servers",anthropic mcp servers,Informational,320,"0.10,0.44,0.67,0.44,0.23,0.44,0.29,0.23,0.29,0.36,0.54,1.00",54,5.76,0.05,"Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom",104
"anthropic,mcp,tool",anthropic mcp tools,"Informational, Transactional",70,"0.50,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.21",64,0.00,0.06,"Video, Video carousel, Discussions and forums, Related searches",170
"anthropic,context,model,protocol",anthropic model context protocol,Informational,480,"0.37,0.30,0.44,0.19,0.19,1.00,0.30,0.13,0.37,0.09,0.13,0.37",95,6.39,0.04,"Sitelinks, Video, People also ask, Related searches, Things to know",123
"anthropic,context,document,model,protocol",anthropic model context protocol documentation,Informational,50,"0.04,0.08,0.04,0.22,0.22,0.04,0.22,0.43,1.00,0.04,0.04,0.04",70,0.00,0.33,"Video, Discussions and forums, Related searches",4370000
"anthropic,context,github,model,protocol",anthropic model context protocol github,"Informational, Navigational",90,"0.05,0.05,0.05,1.00,0.53,0.05,0.05,0.17,0.05,0.05,0.05,0.05",67,0.00,0.33,"Sitelinks, Video, Video carousel, Related searches",127
"anthropic,context,definition,mcp,model,protocol",anthropic model context protocol mcp definition,Informational,40,"0.09,1.00,0.09,0.00,0.63,0.36,0.00,0.00",60,0.00,0.00,"AI Overview, Video, Related searches",152
"anthropic,context,mcp,model,open,protocol,standard",anthropic model context protocol mcp open standard,Informational,90,"0.80,1.00,0.26,0.03,0.34,0.03,0.00,0.00",93,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",111
"anthropic,context,model,playwright,protocol",anthropic model context protocol playwright,Informational,50,"0.81,1.00,0.36,0.18,0.09,0.09,0.00,0.00,0.00",38,0.00,0.00,"AI Overview, Image, Video, Video carousel, Related searches",57500
"anthropic,mpc",anthropic mpc,Navigational,70,"0.00,0.09,0.03,1.00,0.00,0.43,0.00,0.03,0.00,0.65,0.00,0.06",85,4.83,0.07,"Sitelinks, Video, Video carousel, People also ask, Related searches",171
"antropic,mcp",antropic mcp,Navigational,140,"0.09,1.00,0.11,0.07,0.34,0.11,0.00,0.34,0.00,0.00,0.00,0.07",83,4.83,0.07,"Sitelinks, Image, Video, People also ask, Related searches, Things to know",
"api,mcp",api mcp,Informational,30,"0.36,0.18,0.18,0.81,0.27,0.18,0.81,0.45,0.36,0.45,1.00,1.00",21,2.45,0.15,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",108
"apollo,github,ios",apollo io github,Navigational,40,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00",48,0.00,0.36,"Sitelinks, Video, People also ask, Related searches",2140000
"arxiv,mcp",arxiv mcp,Informational,210,"0.04,0.35,0.22,0.66,0.66,0.35,0.22,0.18,0.35,0.54,1.00,0.54",23,24.23,0.02,"Reviews, Related searches",102
"awesome,mcp",awesome mcp,Informational,1000,"1.00,1.00,1.00,1.00,0.68,0.68,0.46,0.46,0.54,0.46,0.54,0.37",46,2.84,0.02,"Sitelinks, Video",119
"awesome,client,mcp",awesome mcp clients,Informational,40,"1.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17",29,0.00,0.33,"Sitelinks, Video, People also ask, Discussions and forums, Related searches",128
"awesome,github,mcp",awesome mcp github,"Informational, Transactional",110,"0.23,0.19,0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02",49,0.00,0.33,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",101
"awesome,mcp,repair",awesome mcp repo,"Informational, Transactional",40,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",69,0.00,0.33,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches, Ads top",4570000
"awesome,mcp,server",awesome mcp server,Informational,320,"0.67,0.15,0.81,1.00,0.54,0.00,0.35,1.00,0.54,0.00,0.15,0.04",44,3.79,0.08,"Sitelinks, Reviews, Video, Discussions and forums, Related searches",126
"awesome,mcp,servers",awesome mcp servers,Commercial,1600,"0.45,0.55,0.65,0.83,1.00,0.55,0.30,0.20,0.34,0.25,0.20,0.13",25,3.79,0.08,"Sitelinks, Video, Discussions and forums, Related searches, Ads top",116
"awesome,github,mcp,servers",awesome mcp servers github,Navigational,110,"0.04,1.00,0.52,1.00,1.00,0.42,0.52,0.42,0.42,0.52,0.66,0.42",60,0.00,0.01,"Sitelinks, Video, Discussions and forums, Related searches, Ads bottom",
"awesome,github],mcp,servers",awesome mcp servers github],Navigational,90,"0.03,0.15,0.21,1.00,0.15,0.28,0.06,0.06,0.06,0.00,0.15,0.06",45,0.00,0.01,"Sitelinks, Discussions and forums, Related searches",104
"awesome,list,mcp,servers",awesome mcp servers list,Informational,390,"0.30,0.16,0.05,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01",32,0.00,0.33,"Sitelinks, Video, Discussions and forums, Related searches",131
"awesome,mcp",awesome-mcp,Informational,170,"0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00",40,0.00,0.00,"Sitelinks, Video, Related searches",122
"awesome,mcp,servers",awesome-mcp-servers,Commercial,1300,"1.00,0.06,0.06,0.00,1.00,0.00,0.00,0.06,0.09,0.09,0.24,0.15",34,3.62,0.03,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom",123
"awsome,mcp",awsome mcp,Informational,170,"0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00",40,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches",123
"azure,mcp",azure mcp,"Informational, Transactional",480,"0.16,0.45,0.67,0.55,0.55,0.67,0.55,0.45,0.76,0.76,1.00,0.76",56,5.03,0.03,"Sitelinks, Video, Video carousel, Related searches",51200000
"azure,devops,mcp",azure-devops-mcp,Navigational,30,"0.03,0.03,0.07,0.07,0.07,0.07,0.00,1.00,0.00,0.00,0.00,0.00",55,7.87,0.01,"Sitelinks, Reviews, Video, Video carousel, Related searches",103
"best,claude,code,mcps",best claude code mcps,Commercial,70,"0.09,0.09,1.00,1.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06",14,0.00,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",676000
"architecture,available,best,date,integration",best data integration architecture available,Commercial,70,"0.00,1.00,0.64,0.82,0.41,0.52,0.52,0.29,0.41,0.23,0.64,0.29",26,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",426000000
"best,mcp",best mcp,Commercial,170,"0.23,0.35,0.35,0.35,0.15,0.15,0.18,0.23,0.18,1.00,0.23,0.23",41,1.98,0.06,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",180
"best,client,mcp",best mcp client,Commercial,90,"1.00,0.66,1.00,0.66,0.05,0.23,0.32,0.14,0.09,0.09,0.09,0.09",39,0.00,0.06,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",129
"best,client,mcp",best mcp clients,Commercial,40,"0.22,1.00,1.00,0.77,0.22,0.77,0.11,0.22,0.22,0.22,0.22,0.22",26,0.00,0.18,"Sitelinks, AI Overview, Video, Related searches, Ads bottom",123
"best,dev,generator,mcp,server",best mcp server generator for devs,Commercial,40,"1.00,0.22,0.00,0.00,0.00,0.00,0.00",26,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",189
"best,claude,mcp,servers",best mcp servers for claude,Commercial,30,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",14,3.55,0.14,"Sitelinks, AI Overview, Video, Video carousel, Related searches",131
"best,claude,code,mcp,servers",best mcp servers for claude code,Commercial,320,"0.06,0.16,0.13,1.00,0.20,0.30,0.16,0.13,0.36,0.36,0.36,0.24",10,5.50,0.18,"Sitelinks, AI Overview, Video, Video carousel, Related searches",130
"best,coding,mcp,servers",best mcp servers for coding,Commercial,50,"0.18,0.81,1.00,0.27,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18",17,3.40,0.32,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",176
"best,cursor,mcp,servers",best mcp servers for cursor,Commercial,260,"0.20,0.24,0.13,1.00,0.05,0.05,0.05,0.03,0.05,0.03,0.03,0.02",19,0.00,0.05,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom",128
"best,development,mcp,servers",best mcp servers for developers,Commercial,50,"0.41,0.41,0.11,0.11,0.23,0.41,0.11,0.11,0.29,0.52,1.00,0.23",23,3.80,0.34,"Sitelinks, AI Overview, Video, Video carousel, Related searches",162
"best,mcps",best mcps,Commercial,140,"0.53,0.34,1.00,0.53,0.53,0.53,0.28,0.28,0.34,0.43,0.53,0.43",41,0.00,0.33,"Sitelinks, Video, Related searches",137
"best,claude,code,mcps",best mcps for claude code,"Informational, Commercial",90,"0.07,1.00,1.00,0.80,0.07,0.07,0.07,0.07,0.07,0.42,0.42,0.07",10,11.12,0.15,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches",135
"best,cursor,mcps",best mcps for cursor,Commercial,40,"0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.05,0.05",9,9.28,0.10,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom",119
"best,mcp,ui",best ui mcp,Commercial,70,"0.00,0.00,0.12,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",48,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",193
"allowed,brightdata,free,service",brightdata service allows free,Informational,170,"0.00,0.00,0.02,0.88,1.00,0.14,0.00,0.02,0.11,0.02,0.11,0.17",56,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches",257000
"build,mcp,server",build your own mcp server,Informational,90,"0.52,0.80,0.52,0.66,0.09,1.00,0.23,0.09,0.09,0.19,0.23,0.09",38,3.39,0.39,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches, Ads bottom",161
"awesome,c",c++ awesome,Informational,90,"1.00,0.29,0.52,0.41,0.52,0.82,0.00,0.64,0.52,0.41,0.41,0.41",35,0.00,0.00,"Sitelinks, Video, Discussions and forums, Related searches",6620000
"claude,mcp",claud mcp,Informational,210,"0.00,1.00,0.30,0.00,0.04,0.20,0.03,0.04,0.24,0.16,0.24,0.03",47,3.81,0.04,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",57800000
"ai,claude,mcp",claude ai mcp,Informational,110,"0.65,0.82,0.82,0.52,0.40,0.65,0.29,0.29,0.40,0.65,1.00,0.65",47,3.76,0.08,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches, Ads bottom",109
"ai,claude,mcp,server",claude ai mcp server,"Informational, Commercial",40,"1.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.00,0.14,0.29,0.00",37,3.98,0.10,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom, Ads middle",109
"anthropic,claude,mcp",claude anthropic mcp,"Informational, Transactional",40,"1.00,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48",88,0.00,0.02,"Sitelinks, Video, People also ask, Related searches",23100000
"claude,code,mcp",claude code mcp,Informational,3600,"0.36,1.00,1.00,1.00,0.65,0.81,0.54,0.54,1.00,1.00,1.00,0.65",47,12.54,0.04,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches, Ads bottom",108
"claude,code,list,mcp,servers",claude code mcp servers list,Informational,40,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.22,0.22,0.22,0.22,0.22",26,0.00,0.33,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",94
"claude,code,mcp,support",claude code mcp support,Informational,720,"0.20,0.20,1.00,0.20,0.20,0.20,0.07,0.08,0.08,0.03,0.00,0.00",35,0.00,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches",105
"claude,context",claude context,Informational,210,"0.01,0.01,0.08,0.37,0.25,0.16,0.13,0.13,0.16,0.25,1.00,0.68",53,4.71,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",133000000
"claude,desktop,mcp",claude desktop mcp,"Informational, Commercial",1000,"0.84,1.00,0.84,0.52,0.31,0.68,0.46,0.52,1.00,0.46,0.46,0.37",50,6.38,0.02,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",159
"claude,mcp",claude mcp,Informational,4400,"0.66,0.66,0.66,0.35,0.29,0.44,0.35,0.29,0.66,0.81,1.00,0.81",44,12.19,0.09,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, Related searches",129
"agent,claude,mcp",claude mcp agents,Informational,40,"0.36,1.00,1.00,0.63,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",27,5.94,0.30,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",123
"api,claude,mcp",claude mcp api,Informational,50,"1.00,0.58,0.58,0.58,0.58,0.58,0.37,0.37,0.37,0.37,0.37,0.37",32,0.00,0.33,"Sitelinks, Video, Video carousel, Related searches",119
"claude,client,mcp",claude mcp client,Informational,50,"0.06,0.06,1.00,0.06,0.06,0.28,0.12,0.09,0.06,0.06,0.06,0.06",43,0.00,0.02,"Sitelinks, AI Overview, Video, Video carousel, Ads bottom",127
"claude,doc,mcp",claude mcp docs,Informational,110,"0.17,1.00,0.17,0.17,0.17,0.17,0.12,0.05,0.10,0.12,0.10,0.10",50,0.00,0.01,"Sitelinks, Video, Video carousel, Related searches",129
"claude,document,mcp",claude mcp documentation,Informational,50,"0.33,0.33,1.00,0.33,0.33,1.00,0.55,0.33,0.44,0.55,0.33,0.44",33,4.51,0.05,"Sitelinks, Video, People also ask, Related searches",99
"claude,integration,mcp",claude mcp integration,Informational,70,"0.07,1.00,0.23,0.07,0.07,0.28,0.12,0.05,0.05,0.05,0.05,0.05",35,10.00,0.09,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",32400000
"claude,library,mcp",claude mcp library,Informational,40,"1.00,0.44,0.44,1.00,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22",34,8.70,0.08,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",128
"claude,mcp,prompt",claude mcp prompts,"Informational, Commercial",40,"0.18,0.63,0.63,1.00,0.81,0.18,0.36,0.18,0.18,0.18,0.18,0.18",29,0.00,0.02,"Sitelinks, Reviews, Video, People also ask, Related searches, Ads bottom",85
"claude,mcps",claude mcps,Informational,170,"0.22,0.22,0.43,0.35,0.22,0.22,0.18,0.22,0.54,0.81,1.00,0.81",27,4.92,0.03,"Sitelinks, AI Overview, Video, Video carousel, Related searches",110
"claude,context,model,protocol",claude model context protocol,Informational,50,"1.00,1.00,1.00,0.59,0.71,1.00,0.41,0.29,0.41,0.29,0.29,0.71",87,11.62,0.08,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches",127
"claude,mcp,postgres",claude postgres mcp,Informational,40,"0.64,0.52,0.11,0.11,0.41,0.11,0.11,0.11,0.23,0.41,1.00,1.00",24,0.00,0.02,"AI Overview, Video, Video carousel, Related searches",91
"claude,mcp,python",claude python mcp,Informational,40,"0.11,0.64,1.00,0.52,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",40,0.00,0.07,"AI Overview, Video, Video carousel",128
"claude,mcp",claude with mcp,Informational,40,"0.07,1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",51,0.00,0.12,"Sitelinks, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",31400000
"claude,code,mcp",claude-code mcp,Informational,70,"0.04,0.00,0.09,0.04,0.52,0.00,0.66,1.00,0.42",40,12.54,0.04,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches",109
claudemcp,claudemcp,Informational,90,"0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.36,1.00,0.01",27,12.19,0.09,"Sitelinks, Video, Video carousel, Related searches",131
"cline,code,mcp,vs",cline vs code mcp,"Navigational, Commercial",50,"1.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches",97
"cloud,mcp",cloude mcp,"Informational, Commercial",40,"0.00,0.00,0.00,0.00,0.00,0.02,0.43,0.00,0.00,0.00,0.00,1.00",50,3.81,0.04,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom, Ads middle",57500000
"cmp,industry",cmp industry,Informational,40,"0.27,0.18,0.63,1.00,0.45,0.36,0.45,0.27,0.27,0.18,0.18,0.18",36,0.00,0.33,"AI Overview, Video, People also ask, Related searches",46800000
"code,mcp",code mcp,Informational,70,"0.05,0.05,0.28,0.05,0.05,0.05,0.05,1.00,0.28,0.05,0.05,0.05",56,0.00,0.02,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",130
"coding,mcp,servers",coding mcp servers,Informational,30,"0.14,0.28,0.28,0.28,1.00,0.71,0.28,0.28,0.28,0.28,0.28,0.28",14,5.12,0.23,"Video, Video carousel, Discussions and forums, Related searches",108
"7,context,mcp",context 7 mcp,Informational,880,"0.67,0.55,0.76,1.00,0.76,1.00,0.30,0.36,0.76,0.36,0.55,0.55",18,15.01,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",96
"7,context,mcp,server",context 7 mcp server,Informational,320,"0.45,0.00,0.10,0.04,0.08,1.00,0.05,0.16,0.24,0.20,0.20,0.13",34,8.15,0.05,"Sitelinks, Reviews, Video, Related searches",96
"context,mcp",context mcp,Informational,260,"0.54,0.81,0.29,1.00,0.81,0.00,0.09,0.05,0.09,0.09,0.23,0.12",79,4.89,0.10,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",131
"context,mcp,mod",context mode mcp,Informational,90,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.08",36,6.31,0.06,"Sitelinks, AI Overview, Reviews, Video, Related searches",128
"context,model",context model,Informational,170,"0.29,0.22,0.29,0.29,0.54,1.00,0.10,0.06,0.29,0.43,0.54,0.22",40,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",1040000000
"context,model,protocol",context model protocol,Informational,50,"1.00,0.11,0.65,0.11,0.24,0.11,0.11,0.11,0.11,0.11,0.11,0.11",70,3.96,0.35,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches, Things to know, Ads bottom",166
"context,mod",context-mode,Informational,110,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.36",5,0.00,0.33,"Video, Video carousel, Related searches",118
contextapi,contextapi,Informational,90,"1.00,0.36,0.18,0.36,0.18,0.61,0.61,0.61,0.43,0.61,0.82,0.82",48,0.00,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches",289000000
"cool,mcp,servers",cool mcp servers,Informational,40,"0.71,0.00,0.14,0.00,0.43,0.57,0.00,1.00,1.00,0.71,0.71,0.43",41,3.14,0.34,"Sitelinks, Video, Discussions and forums, Related searches, Ads top, Ads bottom",134
"copilot,mcp,servers",copilot mcp servers,"Informational, Transactional",50,"0.36,0.36,0.63,1.00,0.81,0.63,0.81,0.27,0.45,0.36,0.36,0.45",44,0.00,0.04,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",53400000
"cursor,directory,mcp",cursor.directory mcp,Navigational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",22700000
"define,mcp",define mcp,Informational,260,"0.17,0.21,0.21,0.14,0.39,0.26,0.32,0.14,0.26,0.48,0.59,1.00",59,0.51,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches",121
"define,mcp,server",define mcp server,Informational,140,"1.00,0.17,0.17,0.28,0.28,0.43,0.12,0.17,0.43,0.28,0.35,0.35",48,0.45,0.20,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",127
"doc,mcp",docs mcp,Informational,50,"0.06,0.06,1.00,0.06,0.34,0.15,0.06,0.06,0.06,0.65,0.06,0.06",26,0.00,0.33,"Sitelinks, Video, Related searches",131
"chatgpt,context,mcp,model,protocol,support",does chatgpt support model context protocol mcp,Informational,170,"1.00,0.00,0.00,0.00,0.00,0.00,0.01",57,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches",168
"dx,salesforce",dx salesforce,Informational,140,"0.51,0.67,0.51,0.81,0.67,0.51,0.67,0.67,1.00,0.51,1.00,1.00",44,8.96,0.24,"AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",2960000
"entropic,system",entropic systems,Informational,70,"0.66,0.52,0.19,0.23,0.52,0.66,0.52,0.52,0.66,0.52,0.66,1.00",11,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",3000000
"everything,mcp,search",everything search mcp,Informational,50,"0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",2,0.00,0.33,"AI Overview, Reviews, Video, Video carousel, Related searches",135
"example,mcp,server",example mcp server,Informational,30,"0.57,0.71,1.00,0.28,0.28,0.42,0.71,0.71,1.00,1.00,1.00,0.28",,2.55,0.09,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",125
"example,mcp,servers",example mcp servers,Informational,90,"0.82,0.64,1.00,1.00,0.64,0.52,0.52,0.23,0.00,0.41,0.17,0.41",51,2.54,0.28,"AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",123
"example,tool",example tool,Informational,50,"0.13,0.13,0.13,0.78,0.78,1.00,0.50,0.35,0.35,0.50,0.63,0.50",28,0.00,0.04,"AI Overview, Video, Video carousel, People also ask, Related searches",94
"example,mcp,servers",examples of mcp servers,Informational,70,"0.64,0.78,1.00,1.00,0.78,0.78,0.78,0.14,0.14,0.14,0.78,0.35",67,0.00,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",1960000
"explained,mcp,servers",explain mcp servers,Informational,50,"0.11,0.41,0.11,0.41,0.29,0.41,0.11,0.23,0.11,1.00,0.64,0.64",50,1.01,0.28,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",121
"context,explained,model,protocol",explain model context protocol,Informational,40,"0.55,1.00,1.00,0.77,0.44,0.44,0.22,0.22,0.33,0.22,0.33,0.22",62,0.70,0.15,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",130
